FacilityName,FacilityAddress,Violation,Disposition,DispositionDate
FLOWER CHILD,"10072 DARNESTOWN RD. , ROCKVILLE, MD 20860",SALE TO MINOR,SETTLED;$1000+ALERT,03/05/2019
BUFFALO WILD WINGS,"33 MARYLAND AVE. , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
"TACOS, TORTAS & TEQUILA","8407 RAMSEY AVE. , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED; 100+ ALERT,04/03/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/06/2019
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/06/2019
DON POLLO OF POTOMAC,"10231 WESTLAKE DR. , BETHESDA, MD 20817",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/26/2019
FRIENDSHIP GOURMET MARKET,"5550 FRIENDSHIP BLVD , CHEVY CHASE , MARYLAND - 20815",5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,01/14/2022
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE UNIT A, ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,03/25/2019
TALBOTT BEER & WINE,"1071 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,"TWO WEEK SUSPENSION FROM MAY 13-26, 2019",10/15/2018
ARMAND'S PIZZERIA & GRILLE,"190 HALPINE ROAD , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,03/04/2019
GUAPOS II,"8130 WISCONSIN AVE. , BETHESDA, MD 20814",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$800+ALERT,03/27/2019
GIUSEPPI'S PIZZA PLUS,"335 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,04/12/2019
GUAPOS II,"8130 WISCONSIN AVE. , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/27/2019
GYROLAND,"1701 ROCKVILLE PIKE B-3, ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/09/2019
SUPER CHICKEN,"2531 ENNALLS AVE. , WHEATON, MD 20902",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/29/2019
LIFETIME ATHLETIC,"10121 WASHINGTONIAN BLVD , GAITHERSBURG, MD 20878",STORAGE,SETTLED;$2900+ALERT,07/29/2019
OWENS ORDINARY,"11820 TRADE STREET , NORTH BETHESDA, MD 20852",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,WARNING+ALERT,11/02/2018
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
ETHIO ADDIS MARKET,"8107 FENTON STREET , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,04/09/2019
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",STORAGE,SETTLED;$400+ALERT,03/08/2019
THAI FARM,"800 KING FARM BLVD. #125, ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,01/22/2019
SARITA'S CHICKEN RESTAURANT,"2545 ENNALLS AVENUE , WHEATON, MD 20904",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
EMPIRE CAFE & MARKET,"22301 GEORGIA AVENUE , BROOKVILLE , MARYLAND - 20833",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $500 +ALERT,03/28/2020
BLACK'S BAR & KITCHEN,"7750 WOODMONT AVE , BETHESDA , MARYLAND - 20814",5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,02/11/2021
CAFE 20/20,"4870 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,500+ALERT,09/25/2019
MEDIUM RARE,"4904 FAIRMONT AVE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $500 +ALERT,03/13/2020
FRIENDSHIP GOURMET MARKET,"5550 FRIENDSHIP BLVD , CHEVY CHASE , MARYLAND - 20815",5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,01/14/2022
BOYDS COUNTRY STORE,"15110 BARNSVILLE ROAD , BOYDS, MD 20841",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,06/14/2019
CHIPOTLE MEXICAN GRILL,"7624 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",RECORDS INVOICE VIOLATION,SETTLED;$500.00+ALERT,07/05/2019
RODMANS PARTY BOUTIQUE,"4301 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,09/11/2020
WONG GEE ASIAN RESTAURANT,"2417 UNIVERSITY BLVD, WEST , SILVER SPRING , MARYLAND - 20902",5.7 DISPLAY OF LICENSE,SETTLED $100 +ALERT,10/28/2021
URBAN CRAWFISH,"670 QUINCE ORCHARD RD , GAITHERSBURG, MD 20878",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
MYTHOS MEDITTERANEAN GREEK RESTAURANT,"8371 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/02/2019
CANA BEER AND WINE,"13505 CLOPPER RD. , GERMANTOWN, MD 20874",KEG REGISTRATION VIOLATION,SETTLED;$600+ALERT,06/28/2019
ASIA NINE II,"254 CROWN PARK ROAD , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/22/2019
LIA'S,"4445 WILLARD AVE. , CHEVY CHASE, MD 20815",STORAGE,SETTLED;$2300+ALERT,04/11/2019
ABOL RESTAURANT,"8626 COLESVILLE RD. , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
DOLLAR PLUS STORE,"11250 TRIANGLE LANE , SILVER SPRING , MARYLAND - 20902",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $2500 +ALERT,03/28/2020
COURTYARD BY MARRIOTT,"2500 RESEARCH BOULEVARD , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$2500.00+ALERT,02/19/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500+ALERT,04/15/2019
RODMANS PARTY BOUTIQUE,"4301 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1000 +ALERT,09/11/2020
HOLIDAY INN EXPRESS & SUITES,"20260 GOLDENROD LANE , GERMANTOWN, MD 20876",CLASS LICENSE VIOLATION,SETTLED; $1000 + ALERT,09/13/2017
THAI FARM,"800 KING FARM BLVD. #125, ROCKVILLE, MD 20850",RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,01/22/2019
THE GRILLE AT FLOWER HILL,"18257 FLOWER HILL WAY , GAITHERSBURG, MD 20879",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
CAFE 20/20,"4870 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,$100+ALERT,09/25/2019
BLACK'S BAR & KITCHEN,"7750 WOODMONT AVE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,SETTLED $1500 +ALERT,02/11/2021
PORT AU PRINCE,"7912 GEORGIA AVE. , SILVER SPRING, MD 20910",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
PASSION NAIL SPA,"19847 H CENTURY BLVD. , GERMANTOWN, MD 20874",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/01/2019
TERRAIN CAFE,"7228 WOODMONT AVE. , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/22/2019
TERRAIN CAFE,"7228 WOODMONT AVE. , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,03/25/2019
OUTBACK STEAKHOUSE,"12609 WISTERIA DR , GERMANTOWN, MD 20874",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,05/21/2019
THAT'S AMORE,"15201 SHADY GROVE ROAD , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$2500+ALERT,02/19/2019
CAFE 20/20,"4870 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",SALE TO MINOR,$2500+ALERT,09/25/2019
FANTASY NAIL SPA,"9321 GEORGIA AVE. , SILVER SPRING, MD 20910",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,12/07/2018
MAMMA LUCIA'S,"14921 SHADY GROVE ROAD , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$2500+ALERT,02/19/2019
PASSION NAIL SPA,"19847 H CENTURY BLVD. , GERMANTOWN, MD 20874",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,07/01/2019
WHEATON SPORT BAR & GRILL,"11300 GEORGIA AVE. , SILVER SPRING, MD 20902",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/18/2019
GOLF ULTRA LOUNGE,"8123 GEORGIA AVENUE , SILVER SPRING, MD 20910",ACTS CONTRARY TO LAW,SETTLED;$1000+ALERT,05/26/2019
WISTERIA BEER AND WINE,"13220 WISTERIA DR., UNIT #4 , GERMANTOWN, MD 20874",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,07/01/2019
ST. ARNOLD'S MUSSEL BAR,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/01/2016
MINERVA INDIAN CUISINE,"16240 FREDERICK ROAD , GAITHERSBURG, MD 20877",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
MAKI BAR,"6831 WISCONSIN AVE. 300, BETHESDA, MD 20815",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,03/27/2019
TERRAIN CAFE,"7228 WOODMONT AVE. , BETHESDA, MD 20814",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,03/22/2019
NEW VILLAGE RESTAURANT,"11540 MIDDLEBROOK ROAD , GERMANTOWN, MD 20876",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,03/26/2019
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
CUBANO'S,"1201 FIDLER LANE , SILVER SPRING, MD 20910",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$200+ALERT,04/17/2019
JINYA RAMEN BAR,"910 PROSE ST. , ROCKVILLE, MD 20852",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$400+ALERT,06/14/2019
THE VILLAGE AT ROCKVILLE,"9701 VEIRS DR. , ROCKVILLE, MD 20850",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,05/07/2019
ST. ARNOLD'S MUSSEL BAR,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,02/13/2017
GODAVARI,"9011 GAITHER ROAD , GAITHERSBURG, MD 20877",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,$500+ALERT; REVOCATION,02/03/2018
CIELO ROJO,"7056 CARROLL AVE. , TAKOMA PARK, MD 20912",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
BROADWAY PIZZA,"7965 TUCKERMAN LANE , POTOMAC, MD 20854",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/22/2019
CONGRESS RESTAURANT AND LOUNGE,"6834 NEW HAMPSHIRE AVENUE , TAKOMA PARK, MD 20912",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,07/27/2017
BANTA BAA RESTAURANT,"8000 FLOWER AVE. , TAKOMA PARK, MD 20912",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
ENGOCHA MARKET,"11406 GEORGIA AVE., STE.A , WHEATON, MD 20902",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
GREAT SHOALS,"7050 CARROLL AVE. #101 , TAKOMA PARK, MD 20912",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
LATINO MARKET GROCERY,"12 E. DIAMOND AVE. JK, GAITHERSBURG, MD 20877",SALE TO MINOR,REVOKED,08/09/2018
SPICE XING,"100 GIBBS STREET B, ROCKVILL, MD 20850",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$1000+ALERT,04/11/2019
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,"$600.00, REVOCATION.",02/03/2018
LATINO MARKET GROCERY,"12 E. DIAMOND AVE. JK, GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,REVOKED,08/09/2018
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD, #1 , GAITHERSBURG , MARYLAND - 20879",6.9 STORAGE,$400 +ALERT,08/18/2022
DOWNTOWN BEER & WINE,"70 UPPER ROCK CIRCLE 103-104, ROCKVILLE, MD 20850",APPLICATION - FAILURE TO UPDATE,WARNING,07/31/2019
BUCA DI BEPPO,"122 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/24/2019
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/25/2019
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",SALE TO MINOR,"TWO WEEK SUSPENSION; SEPTEMBER 16, 2019- SEPTEMBER 30, 2019 + ALERT",03/05/2019
LESAAC CAFE,"8200 FENTON STREET , SILVER SPRING , MARYLAND - 20910",5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $250 +ALERT,01/07/2022
THE SPOT,"255 NORTH WASHINGTON ST. , ROCKVILLE, MD 20850",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$7200.00+ALERT,06/19/2019
LA COLOMBIANA RESTAURANT,"11216 GRANDVIEW AVENUE , WHEATON, MD 20902",DISORDERLY HOUSE,SETTLED;$1000+ALERT,06/16/2019
URBAN BAR-B-QUE CO,"5566 NORBECK RD. , ROCKVILLE, MD 20853",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,05/01/2019
HIBACHI SUSHI SUPREME BUFFET,"8 BUREAU DRIVE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"SIX WEEK SUSPENSION FROM SEPTEMBER 16-OCTOBER 27,2019",06/20/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVE , GAITHERSBURG , MARYLAND - 20877",5.4 ALCOHOL AWARENESS CERTIFICATION,,
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,08/28/2019
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$2500+ALERT,08/28/2019
7 LOCKS BREWING,"12227 WILKINS AVENUE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,09/25/2019
OM INDIAN RESTAURANT,"785 ROCKVILLE PIKE K, ROCKVILLE, MD 20852",SALE TO MINOR,$1000+ALERT,10/09/2019
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",LICENSE NOT PROPERLY DISPLAYED,$100+ALERT,10/09/2019
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",SALE TO MINOR,$2500+ALERT,10/09/2019
PALISADES LOUNGE,"8211 GEORGIA AVE , SILVER SPRING , MD - 20910","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",$500 +ALERT,01/21/2021
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",6.0 ACTS CONTRARY TO LAW,SETTLED $250 +ALERT,04/15/2021
RAINBOW RESTAURANT,"312 E. DIAMOND AVE. B-1, GAITHERSBURG, MD 20877",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100.00+ALERT,07/24/2019
SMOKETOWN BBQ,"805 OLNEY SANDY SPRING RD. , SANDY SPRING , MARYLAND - 20860",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/28/2020
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,SETTLED $3000 +ALERT,04/15/2021
GOLF ULTRA LOUNGE,"8123 GEORGIA AVE , SILVER SPRING , MARYLAND - 20910",6.9 STORAGE,SETTLED $0 +ALERT,03/08/2021
OUTBACK STEAKHOUSE - GERMANTOWN,"12609 WISTERIA DRIVE , GERMANTOWN , MARYLAND - 20874",5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $500 +ALERT,
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",ACTS CONTRARY TO LAW,SETTLED; $1000+ALERT,05/26/2019
DRYBAR,"4840 BETHESDA AVE. , BETHESDA, MD 20814",STORAGE,SETTLED;$2800+ALERT,09/26/2019
ASIA NINE II,"254 CROWN PARK ROAD , GAITHERSBURG, MD 20878",GAMBLING ON PREMISES,SETTLED;$1000.00+ ALERT,03/22/2019
KING'S CRAFT BEER & WINE DELI,"402 KING FARM BLVD. 100, ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
"TRAN DINH BEER, WINE, & DELI","20 MONTGOMERY VILLAGE AVENUE D, GAITHERSBURG, MD 20879",AGE OF EMPLOYEE VIOLATION,SETTLED;$1000+ALERT,08/02/2019
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100.00+ALERT,07/23/2019
NANDO'S PERI PERI - GAITHERSBURG,"224 BOARDWALK PLACE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/13/2019
NIWANO HANA,"887 ROCKVILLE PIKE , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/28/2019
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED;$600+ALERT,08/21/2019
BB.Q CHICKEN & BEER,"9712 TRAVILLE GATEWAY DR. , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/06/2019
HOT POT LEGEND,"595 HUNGERFORD DR. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
BB.Q CHICKEN & BEER,"9712 TRAVILLE GATEWAY DR. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
NIWANO HANA,"887 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,08/28/2019
HOT POT LEGEND,"595 HUNGERFORD DR. , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTELD;$100+ALERT,08/06/2019
