FacilityName,FacilityAddress,Violation,Disposition,DispositionDate
LEDO PIZZA,"12619 WISTERIA DRIVE B, GERMANTOWN, MD 20874",LICENSE NOT PROPERLY DISPLAYED,SETTELD;$100+ALERT,08/19/2019
LA TASCA,"141 GIBBS STREET 305, ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/28/2019
LEDO PIZZA,"12619 WISTERIA DRIVE B, GERMANTOWN, MD 20874",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/19/2019
NANDO'S PERI PERI - GAITHERSBURG,"224 BOARDWALK PLACE , GAITHERSBURG, MD 20878",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,08/13/2019
SOL AZTECA RESTAURANT,"18129 TOWN CENTER DRIVE , OLNEY, MD 20832",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/04/2019
MANNEQUIN PLS,"18064 GEORGIA AVE. , OLNEY, MD 20832",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/04/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,$500+ALERT,06/05/2019
WATERSHED CAFE,"19639 FISHER AVENUE , POOLESVILLE, MD 20837",RECORDS INVOICE VIOLATION,SETTLED;$200+ALERT,06/25/2019
WATERSHED CAFE,"19639 FISHER AVENUE , POOLESVILLE, MD 20837",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,06/25/2019
KUSSHI,"11826 TRADE ST. , NORTH BETHESDA, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,07/16/2019
KUSSHI,"11826 TRADE ST. , NORTH BETHESDA, MD 20852",STORAGE,SETTLED;$400+ALERT,07/16/2019
KUSSHI,"11826 TRADE ST. , NORTH BETHESDA, MD 20852",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,07/19/2019
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,09/25/2019
SLAPFISH,"12033 ROCKVILLE PIKE , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/25/2019
SLAPFISH,"12033 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,09/25/2019
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$2500+ALERT,09/25/2019
EL PATIO,"5240 RANDOLPH ROAD , ROCKVILLE, MD 20852",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,09/25/2019
SLAPFISH,"12033 ROCKVILLE PIKE , ROCKVILLE, MD 20852",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,09/25/2019
BALAGGER RESTUARANT,"8081 GEORGIA AVE , SILVER SPRING , MARYLAND - 20910",NO VIOLATION,,
LA CANELA,"141 GIBBS STREET D, ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/28/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,08/01/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500 + ALERT,06/05/2019
PIKE CHICKEN & BEER,"1066 ROCKVILLE PIKE , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;100+ALERT,10/09/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,08/01/2019
THE REPUBLIC GARDEN,"8402 GEORGIA AVE. , SILVER SPRING, MD 20910",DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,SETTLED;$1000+ALERT,09/02/2019
HICKORY BAR & GRILL,"15420 OLD COLUMBIA PIKE , BURTONSVILLE, MD 20866",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,07/15/2019
PIKE CHICKEN & BEER,"1066 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"2 WEEK SUSPENSION + ALERT (OCTOBER 9-OCTOBER 22, 2019)",08/01/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",RECORDS INVOICE VIOLATION,SETTLED;$500+ ALERT,09/09/2019
BUFFALO WILD WINGS,"33 MARYLAND AVENUE , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/21/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,10/09/2019
AKIRA RAMEN IZAKAYA,"1800 ROCKVILLE PIKE, UNIT H1 , ROCKVILLE, MD 20852",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED;$500+ALERT,10/09/2019
BURGERFI,"11881 GRAND PARK AVE. , NORTH BETHESDA, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
ST. ARNOLD'S MUSSEL BAR,"7525 OLD GEORGETOWN ROAD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$500+ALERT,10/01/2019
OM INDIAN RESTAURANT,"785 ROCKVILLE PIKE K, ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,10/09/2019
GEMELLI'S ITALIAN MARKET,"12169 DARNESTOWN RD , GAITHERSBURG, MD 20878",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,08/15/2019
PALISADES LOUNGE,"8211 GEORGIA AVE , SILVER SPRING , MD - 20910","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",SETTLED $500 +ALERT,01/21/2021
PALISADES LOUNGE,"8211 GEORGIA AVE , SILVER SPRING , MARYLAND - 20910","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",SETTLED $1000 +ALERT,01/21/2021
GYROLAND,"1701 ROCKVILLE PIKE B-3, ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,10/09/2019
MATRESHKA,"15209 FREDERICK RD. , ROCKVILLE, MD 20850",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,08/06/2019
MIKE & SONS SUB SHOP,"5404 RANDOLPH ROAD , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$1000+ALERT,09/25/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",DISORDERLY HOUSE,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
FOOD STOP MINI MART,"4820 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED;$5000+ALERT,06/04/2019
BALAGGER RESTAURANT,"8081 GEORGIA AVE. , SILVER SPRING, MD 20910",NO ENTERPRISE LICENSE,"10 DAY SUSPENSION; NOVEMBER 20-NOVEMBER 29, 2019",10/03/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",LICENSE COMPLIANCE CHECK,"2 WEEK SUSPENSION FROM JANUARY 6-JANUARY 19, 2020",11/21/2019
MIKE & SONS SUB SHOP,"5404 RANDOLPH ROAD , ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,09/25/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",ACTS CONTRARY TO LAW,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"2 DAY SUSPENSION FROM DECEMBER 23-24, 2019",12/25/2019
MATRESHKA,"15209 FREDERICK RD. , ROCKVILLE, MD 20850",ACTS CONTRARY TO LAW,SETTLED;$1000+ALERT,08/06/2019
MIKE & SONS SUB SHOP,"5404 RANDOLPH ROAD , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,09/25/2019
GAITHERSBURG SUPERMARKET,"220 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,"2 WEEK SUSPENSION STARTING FROM JANUARY 20- FEBRUARY 9,2020",09/24/2019
MATRESHKA,"15209 FREDERICK RD. , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,08/06/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",NOISE/DISTURBANCE OF THE NEIGHBORHOOD,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
KALDI'S COFFEE,"918 SILVER SPRING AVENUE , SILVER SPRING, MD 20910",LICENSEES' RESPONSIBILITY,"2 WEEK SUSPENSION STARTING FROM JANUARY 6-JANUARY 19,2020",11/21/2019
BALAGGER RESTAURANT,"8081 GEORGIA AVE. , SILVER SPRING, MD 20910",PROHIBITED HOURS,"10 DAY SUSPENSION; NOVEMBER 20-NOVEMBER 29, 2019",07/29/2019
ARADA MARKET,"6844 NEW HAMPSHIRE AVE , TAKOMA PARK , MARYLAND - 20912",6.9 STORAGE,$4600 +ALERT,08/30/2021
SOCIETY RESTAURANT & LOUNGE,"8229 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,SETTLED $2000 +ALERT,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",5.2 CHANGES IN LICENSING INFORMATION,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",6.20 DISORDERLY HOUSE,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",6.12 OPEN CONTAINERS,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",5.1 LICENSEE'S RESPONSIBILITY,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",6.2 SALES OR SERVICE TO INTOXICATED PERSONS/CONSUMPTION OR POSSESSION BY INTOXICATED PERSONS,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",5.0 COMPLIANCE WITH LAWS AND REGULATIONS,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",6.16 FALSE STATEMENT,,
Q' VIVA COCINA & LOUNGE,"2322 UNIVERSITY BLVD. , SILVER SPRING , MARYLAND - 20902","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",SETTLED $250 +ALERT,09/24/2020
GOLF ULTRA LOUNGE,"8123 GEORGIA AVE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,$2000 +ALERT,03/08/2021
GOLF ULTRA LOUNGE,"8123 GEORGIA AVE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,$3000 +ALERT,03/08/2021
CHERCHER ETHIOPIAN CUISINE,"4921 BETHESDA AVENUE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$0 +ALERT,03/13/2020
HAKUNA MATATA GRILL,"2405 PRICE AVE. , SILVER SPRING , MARYLAND - 20902","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",SETTLED $500 +ALERT,03/08/2021
LA VILLA RESTAURANT BAR & GRILL,"18701 N. FREDERICK AVE. , GAITHERSBURG , MARYLAND - 20879",6.20 DISORDERLY HOUSE,,09/24/2021
GISELE'S CREOLE CUISINE,"2407 PRICE AVENUE , SILVER SPRING , MARYLAND - 20902",6.9 STORAGE,$200 +ALERT,04/08/2022
TIA QUETA RESTAURANT,"4839 DEL RAY AVE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$0 +ALERT,09/11/2020
EN BISTRO AND SUSHI,"9945 FALLS ROAD , POTOMAC , MARYLAND - 20854",5.7 DISPLAY OF LICENSE,,08/30/2021
EN BISTRO AND SUSHI,"9945 FALLS ROAD , POTOMAC , MARYLAND - 20854",5.4 ALCOHOL AWARENESS CERTIFICATION,SETTLED $100 +ALERT,08/30/2021
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",5.4 ALCOHOL AWARENESS CERTIFICATION,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",5.4 ALCOHOL AWARENESS CERTIFICATION,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",5.4 ALCOHOL AWARENESS CERTIFICATION,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902","6.4 CONSUMPTION, POSSESSION, OR SALE DURING PROHIBITED HOURS",,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",6.9 STORAGE,,
THE LITTLE BEET TABLE,"5471 WISCONSIN AVENUE UNIT F , CHEVY CHASE , MARYLAND - 20815",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/05/2020
A BITE OF CHINA,"15106-A FREDERICK RD , ROCKVILLE , MARYLAND - 20850",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/27/2020
RINCON MAGICO BAR & GRILL,"4217 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,09/11/2020
HAKUNA MATATA GRILL,"2405 PRICE AVE. , SILVER SPRING , MARYLAND - 20902",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/28/2020
VUK,"4924 ST. ELMO AVE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,03/20/2020
"ARIA, BEER, WINE & DELI","4800 AUBURN AVENUE , BETHESDA , MARYLAND - 20814",5.7 DISPLAY OF LICENSE,$100 +ALERT,04/02/2020
DOWNTOWN CROWN WINE & BEER,"303 COPLEY PLACE , GAITHERSBURG , MARYLAND - 20878",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,04/08/2022
JALEO,"7271 WOODMONT AVE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,09/11/2020
THE REPUBLIC GARDEN,"8402 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,$7500 +ALERT,02/11/2021
THE REPUBLIC GARDEN,"8402 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,$7500 +ALERT,02/11/2021
THE REPUBLIC GARDEN,"8402 GEORGIA AVENUE , SILVER SPRING , MARYLAND - 20910",5.10 DISPENSING OF LIQUOR,$7500 +ALERT,02/11/2021
"ARIA, BEER, WINE & DELI","4800 AUBURN AVENUE , BETHESDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,$1000 +ALERT,04/02/2020
"GLENMONT BEER, WINE & DELI","12351 GEORGIA AVE , SILVER SPRING , MARYLAND - 20906",6.0 ACTS CONTRARY TO LAW,SETTLED $5000 +ALERT,
CHAIA,"7237 WOODMONT AVE. , BETHEDA , MARYLAND - 20814",6.1 SALES OR SERVICE TO MINORS/CONSUMPTION OR POSSESSION OF MINORS,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902",6.8 ALCOHOLIC BEVERAGE CONTAINERS- REFILLING/TAMPERING,,
DESSIE ETHIOPIAN RESTAURANT & MARKET,"2655 UNIVERSITY BLVD , WHEATON , MARYLAND - 20902","5.5 RECORDS
 VIOLATION",,
DEMPSEYS OF ASHTON,"1 OLNEY SANDY SPRING ROAD , ASHTON , MARYLAND - 20861","5.5 RECORDS
 VIOLATION",SETTLED $500 +ALERT,04/08/2022
A BITE OF CHINA,"15106-A FREDERICK RD , ROCKVILLE , MARYLAND - 20850","5.5 RECORDS
 VIOLATION",$500 +ALERT,03/27/2020
VILLAGE WEST LIQUOR,"19520 WATERS ROAD , GERMANTOWN , MARYLAND - 20876","5.5 RECORDS
 VIOLATION",SETTLED $500 +ALERT,01/21/2021
GISELE'S CREOLE CUISINE,"2407 PRICE AVENUE , SILVER SPRING , MARYLAND - 20902","5.5 RECORDS
 VIOLATION",$500 +ALERT,04/08/2022
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR ROAD , GAITHERSBURG , MARYLAND - 20879",6.2 SALES OR SERVICE TO INTOXICATED PERSONS/CONSUMPTION OR POSSESSION BY INTOXICATED PERSONS,SETTLED $1000 +ALERT,03/09/2020
RINCON MAGICO BAR & GRILL,"4217 RANDOLPH ROAD , SILVER SPRING , MARYLAND - 20906","5.5 RECORDS
 VIOLATION",$500 +ALERT,09/11/2020
EN BISTRO AND SUSHI,"9945 FALLS ROAD , POTOMAC , MARYLAND - 20854","5.5 RECORDS
 VIOLATION",SETTLED $0 +ALERT,08/30/2021
EL AGUILA,"7926 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,05/02/2018
BACCHUS OF LEBANON,"7945 NORFOLK AVE. , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,12/01/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $2500+ALERT,12/10/2018
NOODLES & COMPANY,"177 KENTLANDS BLVD. SUITE 100, GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,07/01/2016
PASHA LAND,"644 CENTER POINT WAY , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED: $1000.00 + ALERT,06/22/2016
TGI FRIDAYS,"12281 TECH ROAD , SILVER SPRING, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,09/04/2018
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,HEARING; LICENSE REVOKED,10/05/2016
SPICE XING,"100 GIBBS STREET B, ROCKVILL, MD 20850",SALE TO MINOR,SETTLED; $2500+ALERT,03/25/2019
NANDO'S PERI PERI,"4839 BETHESDA AVENUE , BETHESDA, MD 20814",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100+ALERT,09/10/2018
SUMMER HOUSE SANTA MONICA/STELLA BARRA PIZZERIA,"11825 GRANDPARK AVENUE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000 + ALERT,10/30/2017
EGGSPECTATION,"923 ELLSWORTH DRIVE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,11/29/2017
MONTGOMERY VILLAGE BEER & WINE,"18286 CONTOUR RD , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED;$1000+ALERT,09/04/2018
JAVA NATION,"10516 CONNECTICUT , KENSINGTON, MD 20895",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,09/06/2016
RIVERSIDE HOTPOT CUISINE,"820 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",SALE TO MINOR,SEETLED; $1000+ALERT,08/13/2018
VIET PHO & GRILL,"1640 ELTON ROAD , SILVER SPRING, MD 20903",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,09/22/2016
GODAVARI,"9011 GAITHER ROAD , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,04/26/2018
ERTA ALE RESTAURANT & CAFE,"2310 PRICE AVENUE , WHEATON, MD 20902",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,06/15/2017
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,08/13/2018
