FacilityName,FacilityAddress,Violation,Disposition,DispositionDate
POCKET BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",ACTS CONTRARY TO LAW,SETTLED; $500 + ALERT,02/15/2018
LUCY ETHIOPIAN RESTAURANT,"8301 GEORGIA AVENUE , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,04/11/2018
TOKYO SUSHI,"18301 LEAMAN RD , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED;$1000+ALERT,08/15/2018
BRIGGS CHANEY DELI,"13832 OUTLET DRIVE , SILVER SPRING, MD 20904",SALE TO MINOR,SETTLED; $1000 + ALERT,11/06/2017
DON JORGE'S RESTAURANT BAR & GRILL,"108 EAST DIAMOND AVE , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED;$1000+ALERT,11/21/2018
THE HILTON AT GAITHERSBURG,"620 PERRY PKWY. , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED;$1000+ALERT,10/18/2018
RATTLEWOOD GOLF COURSE,"13501 PENN SHOP ROAD , DAMASCUS, MD 20872",SALE TO MINOR,SETTLED; $1000 + ALERT,11/08/2017
6/12 CONVENIENT MART,"14100 DARNESTOWN ROAD C, DARNESTOWN, MD 20874",SALE TO MINOR,SETTLED; $2500.00 + ALERT,12/21/2016
ROSSMOOR LEISURE WORLD,"3700 ROSSMOOR BLVD. , SILVER SPRING, MD 20906",APPLICATION - FAILURE TO UPDATE,SETTLED; $2000.00 + ALERT,06/07/2017
CITY TASTE ASIAN CUISINE,"930 WAYNE AVE , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,08/09/2018
GREGORIO'S TRATTORIA,"7745 TUCKERMAN LANE , POTOMAC, MD 20854",SALE TO MINOR,SETTLED: $1000.00 + ALERT,02/01/2017
HONEY PIG,"19727 FREDERICK ROAD , GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000.00+ ALERT,09/20/2018
7-ELEVEN GLEN ECHO,"7305 MACARTHUR BLVD , BETHESDA, MD 20816",SALE TO MINOR,SETTLED; $1000 + ALERT,12/08/2017
SMASHBURGER,"20640 SENECA MEADOWS PARKWAY D-1, GERMANTOWN, MD 20867",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,03/31/2016
BARKING MAD CAFE,"239 SPECTRUM AVENUE , GAITHERSBURG, MD 20879",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,08/30/2016
DOCK OF THE BAY,"429 S. FREDERICK ROAD , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $2500+ALERT,09/28/2018
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",DISPENSING LIQUOR BY BOTTLE FOR CONSUMPTION ONSITE,SETTLED; $1000.00 + ALERT,07/19/2017
MATCHBOX,"1699 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000+ALERT,12/10/2018
TURNTABLE,"4862 CORDELL AVENUE , BETHESDA, MD 20814",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/30/2017
NAGOYA SUSHI,"402 KING FARM BLVD. 130, ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $2500.00 + ALERT,03/31/2017
EL ENCANTO,"8035 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",RECORDS INVOICE VIOLATION,SETTLED; $500+ALERT,06/06/2018
DULCINEA BAR & GRILL,"9103 GAITHER ROAD , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $1000.00 +ALERT,06/30/2016
THE DISH & DRAM,"10301 KENSINGTON PKWY , KENSINGTON, MD 20895",SALE TO MINOR,SETTLED; $1000 + ALERT,09/21/2017
CAVA RESTAURANT,"9713 TRAVILLE GATEWAY DRIVE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,12/03/2018
FONTINA GRILLE,"801 PLEASANT DRIVE , ROCKVILLE, MD 20850",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,08/10/2017
DOWNTOWN CROWN WINE & BEER,"303 COPLEY PLACE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00+ ALERT,11/29/2016
FUDDRUCKERS,"1592 ROCKVILLE PIKE A, ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,03/07/2017
KAYPI RESTAURANT,"2005 VEIRS MILL ROAD , ROCKVILLE, MD 20851",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,12/01/2017
GLENMONT BEER WINE & DELI,"12351 GEORGIA AVE. , WHEATON, MD 20906-3649",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/16/2017
PERUVIAN COUNTRY CHICKEN,"10118 COLESVILLE ROAD , SILVER SPRING, MD 20901",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,01/30/2018
CAFE PROMENADE,"5225 POOKS HILL ROAD , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000+ALERT,04/27/2018
EL ESTERON RESTAURANT,"8500 DAKOTA DRIVE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,07/19/2018
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,06/20/2017
MEZEH MEDITERRANEAN GRILL,"262 CROWN PARK AVENUE , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED;$100+ALERT,10/30/2018
MI RANCHO-ROCKVILLE,"1488 ROCKVILLE PIKE B, ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/27/2017
SMASHBURGER (ROCKVILLLE),"1800 ROCKVILLE PIKE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/28/2017
CANOPY,"940 ROSE AVE , NORTH BETHESDA, MD 20852",AGE OF EMPLOYEE VIOLATION,SETTLED; $1000+ALERT,12/12/2018
LA MADELEINE-CROWN,"242 CROWN PARK AVE , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,09/13/2018
DON POLLO-GERMANTOWN,"21040 A FREDERICK RD , GERMANTOWN, MD 20876",SALE TO MINOR,SETTLED; $1000+ALERT,09/11/2018
HONEY PIG,"12015 ROCKVILLE PIKE #G , ROCKVILLE, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED;$100+ALERT,02/22/2019
PHO TAN VINH,"8705 COLESVILLE RD , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,09/11/2018
ASI ES MI TIERRA,"2559 ENNALLS AVENUE , WHEATON, MD 20902",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,06/08/2017
BUFFALO WILD WINGS,"33 MARYLAND AVENUE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED;$1000+ALERT,02/19/2019
BURGERFI,"8504 FENTON STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED: $1000.00,05/06/2016
JAVA NATION,"10516 CONNECTICUT , KENSINGTON, MD 20895",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,03/23/2016
DOWNTOWN BEER AND WINE,"5751 E FISHER LANE , ROCKVILLE, MD 20852",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/28/2017
BUCA DI BEPPO,"122 KENTLANDS BLVD. , GAITHERSBURG, MD 20878",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,02/27/2018
LIMARIA POLLO A LA BRASA,"74 BUREAU DRIVE , GAITHERSBURG, MD 20878",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,08/13/2018
LE PAIN QUOTIDIEN,"7140 BETHESDA LANE , BETHESDA, MD 20814",SALE TO MINOR,"SETTLED; 10,000 + ALERT",04/04/2018
SILVER SPRING MART,"8211 FENTON , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,01/08/2018
HYATT SUMMERFIELD SUITES,"200 SKIDMORE BOULEVARD , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $2500.00 + ALERT,06/24/2016
BIG WAN'S CUISINE,"16051 FREDERICK ROAD , ROCKVILLE, MD 20855",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; 10 DAY SUSPENSION,02/06/2016
BANGKOK GARDEN RESTAURANT,"4906 SAINT ELMO AVE. , BETHESDA, MD 20814-6008",SALE TO MINOR,SETTLED; $2500 + ALERT,10/13/2017
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500 + ALERT,10/20/2017
DOCK OF THE BAY,"429 S. FREDERICK ROAD , GAITHERSBURG, MD 20877",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/22/2016
BOMBAY INDIAN RESTAURANT,"11229 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,10/10/2016
IRENE'S PUPUSAS,"12391 GEORGIA AVENUE , SILVER SPRING, MD 20906",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,HEARING; $500 FINE + 2 DAY SUSPENSION + ALERT,02/16/2017
ERTA ALE RESTAURANT & CAFE,"2310 PRICE AVENUE , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/15/2017
COURTYARD BY MARRIOTT,"2500 RESEARCH BOULEVARD , ROCKVILLE, MD 20850",SALE TO MINOR,"SETTLED; $1,000 FINE + ALERT",04/12/2017
GEMELLI'S ITALIAN MARKET,"12169 DARNESTOWN RD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,09/20/2018
MIX BAR & GRILLE,"9812 FALLS RD , POTOMAC, MD 20854",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100 + ALERT,12/01/2017
LITTLE BENNETT GOLF COURSE,"25900 PRESCOTT ROAD , CLARKSBURG, MD 20871",SALE TO MINOR,SETTLED; $1000+ALERT,08/30/2018
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,03/10/2017
BECLAWS,"2404 UNIVERSITY BOULEVARD , SILVER SPRING, MD 20902",RECORDS INVOICE VIOLATION,SETTLED;$500+ALERT,10/18/2018
CAFE 20/20,"4880 BOILING BROOK PARKWAY , ROCKVILLE, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,01/24/2017
OUTBACK STEAKHOUSE,"13703 GEORGIA AVEUE , SILVER SPRING, MD 20906",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/24/2017
SUSHI OISHII,"9706 TRAVILLE GATEWAY DRIVE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/18/2017
SUMMIT HILLS MINI MART,"8518 16TH STREET , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,10/23/2017
"BEST BEER, WINE, & DELI","18749 NORTH FREDERICK AVENUE A, GAITHERSBURG, MD 20879",SALE/SERVICE TO INTOXICATED PATRON,"HEARING; $1,000 FINE + ALERT + STATE ALCOHOL CERTIFICATION TRAINING",07/21/2016
HOLLYWOOD EAST CAFE - WESTFIELD,"11160 VEIRS MILL ROAD SPACE, 136, WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/05/2017
RUBY TUESDAY,"701 RUSSELL AVE. , GAITHERSBURG, MD 20877-2612",SALE TO MINOR,"SETTLED; 1,000 + ALERT",07/06/2016
EL NORTENO,"8917 BROOKVILLE ROAD , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,05/25/2016
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",LICENSEES' RESPONSIBILITY,SETTLED; $500 + ALERT,11/06/2017
& PIZZA,"11626 OLD GEORGETOWN ROAD , NORTH BETHESDA, MD 20852",LICENSE NOT PROPERLY DISPLAYED,SETTLED; $100.00 + ALERT,08/12/2016
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/09/2017
TEXAS PARRILLADA,"9631 LOST KNIFE ROAD , GAITHERSBURG, MD 20879",DISORDERLY HOUSE,HEARING; NOT GUILTY,08/04/2016
THAI TASTE,"11315 FERN STREET , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/23/2017
CANCUN MEXICAN CUISINE,"117 E. DIAMOND AVE. , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500 + ALERT,11/06/2017
TED'S MONTANA GRILL,"105 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000.00 + ALERT,07/11/2016
SARITA'S CHICKEN RESTAURANT,"2545 ENNALLS AVENUE , WHEATON, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; !00.00 + ALERT,04/28/2017
MAMMA LUCIA,"1302 EAST WEST HGWY. , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000 + ALERT,10/25/2017
POLLO-MEX,"13436 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20904",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $500.00 + ALERT,07/07/2017
BAR LOUIE,"150 GIBBS STREET , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,06/20/2017
TARA THAI- MONTGOMERY MALL,"7101 DEMOCRACY BLVD , BETHESDA, MD 20814",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/01/2017
LA FOGATA RESTAURANT,"2259 BEL PRE ROAD , SILVER SPRING, MD 20906",SALE TO MINOR,SETTLED; $1000.00 + ALERT,04/24/2017
"CANCUN GRILL RESTAURANT, THE","11220 GEORGIA AVENUE , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $3000.00 + ALERT,04/28/2016
PINSTRIPES,"11920 GRAND PARK AVE. , NORTH BETHESDA, MD 20852",SALE TO MINOR,SETTLED;1000+ ALERT,12/03/2018
KOREAN KORNER,"12207 VEIRS MILL ROAD , WHEATON, MD 20906",SALE TO MINOR,SETTLED; $1000 + ALERT,10/04/2017
ATTMAN'S DELI,"7913 TUCKERMAN LANE , POTOMAC, MD 20854",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,05/01/2017
TARA THAI RESTAURANT,"9811 WASHINGTONIAN BLVD. , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $2500+ALERT,09/28/2018
TWINBROOK DELICATESSEN,"2208 VEIRS MILL ROAD , ROCKVILLE, MD 20851",SALE TO MINOR,SETTLED; $2500.00,02/03/2017
BHIMAS KITCHEN & BAKERY,"13541 CLOPPER RD. , GERMANTOWN, MD 20874",SALE TO MINOR,SETTLED;$1000+ALERT,03/20/2019
7  ELEVEN FOOD STORE 11713A,"14101 GEORGIA AVE. , WHEATON, MD 20906",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ALERT,04/19/2018
PERUVIAN CHICKEN & GRILL,"26400 RIDGE RD , DAMASCUS, MD 20872",AGE OF EMPLOYEE VIOLATION,SETTLED; $1000+ALERT,08/09/2018
ZIKI JAPANESE STEAK HOUSE,"10009 FIELDS ROAD , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000+ALERT,09/26/2018
LA CASITA,"2 EAST DIAMOND AVENUE , GAITHERSBURG, MD 20877",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500.00 + ALERT,12/19/2016
GORDON BIERSCH BREWERY RESTAURANT,"200 EAST MIDDLE LANE UNIT A, ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100 + ALERT,09/22/2017
OLAZZO RESTAURANT,"8235 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,03/22/2018
H RESTAURANT AND NIGHT CLUB,"11300 GEORGIA AVENUE , WHEATON, MD 20902",DISORDERLY HOUSE,SETTLED; $2500.00 + ALERT,07/19/2017
ARADA MARKET,"6844 NEW HAMPSHIRE AVE , TAKOMA PARK, MD 20912",SALE TO MINOR,SETTLED; $1000 + ALERT,02/08/2018
THE QUARRY HOUSE TAVERN,"8401 GEORGIA AVE. , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,12/10/2018
TOKYO FIRE,"9811 MAIN ST SUITE 101, DAMASCUS, MD 20872",SALE TO MINOR,SETTLED; $1000.00,09/06/2018
LEDO PIZZA,"10301 WESTLAKE DRIVE , BETHESDA, MD 20817",SALE TO MINOR,SETTLED; $1000+ALERT,04/11/2018
GRINGOS & MARIACHIS,"4928 CORDELL AVENUE , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000+ALERT,02/01/2018
SHEGER SPRING CAFE,"900 SILVER SPRING AVENUE SUITE B , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500.00 + ALERT,03/02/2016
FUSION BAR & GRILL,"15535 NEW HAMPSHIRE AVENUE , SILVER SPRING, MD 20905",ACTS CONTRARY TO LAW,HEARING; LICENSE REVOKED,10/05/2016
NORTHWEST PARK GOLF SNACK BAR,"15701 LAYHILL ROAD , SILVER SPRING, MD 20906",SALE TO MINOR,SETTLED; $1000 + ALERT,12/06/2017
MYTHOS MEDITTERANEAN GREEK RESTAURANT,"8371 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED;$1000+ALERT,10/10/2018
GUAPO'S,"411 NORTH FREDERICK AVE , GAITHERSBURG, MD 20878",REFILLING EMPTY/PARTIALLY EMPTY ALCOHOLIC BOTTLES,SETTLED; $800.00 + ALERT,07/11/2016
AY JALISCO,"8401 SNOUFFER SCHOOL ROAD , GAITHERSBURG, MD 20879",SALE TO MINOR,SETTLED;$1000+ALERT,10/23/2018
BEATESUB MARKET & CARRYOUT,"8201 GEORGIA AVE , SILVER SPRING, MD 20910",EMPLOYEE RECORDS NOT AVAILABLE WHEN REQUESTED,SETTLED; $500+ ALERT,03/12/2018
VASILI'S KITCHEN,"705 CENTER POINT WAY , GAITHERSBURG, MD 20878",SALE TO MINOR,SETTLED; $1000 + ALERT,09/06/2017
MIX BAR & GRILLE,"8241 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,02/09/2018
CITY TASTE ASIAN CUISINE,"930 WAYNE AVE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $1000+ALERT,08/09/2018
VILLAGE BEER & WINE,"5526 NORBECK ROAD , ROCKVILLE, MD 20853",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100+ALERT,03/26/2018
TEXAS PARRILLADA,"9631 LOST KNIFE ROAD , GAITHERSBURG, MD 20879",PATRON LEAVING PREMISE WITH OPEN ALCOHOL CONTAINER,HEARING; NOT GUILTY,08/04/2016
THE BARKING DOG,"4723 ELM STREET , BETHESDA, MD 20814",SALE TO MINOR,"HEARING, $9,000 FINE (6 SALES TO MINORS)",06/16/2016
SALA THAI BETHESDA,"4828 CORDELL AVE. , BETHESDA, MD 20814",SALE TO MINOR,SETTLED; $1000 + ALERT,10/20/2017
LUCY ETHIOPIAN RESTAURANT,"8301 GEORGIA AVENUE , SILVER SPRING, MD 20910",SALE TO MINOR,SETTLED; $2500 + ALERT,06/13/2018
CORK & FORK,"7110 BETHESDA LANE , BETHESDA, MD 20814",SALE TO MINOR,$2500+ALERT,11/30/2017
GRINGOS & MARIACHIS,"12435 POTOMAC AVE, D R-6 , POTOMAC, MD 20854",SALE TO MINOR,SETTLED;$1000+ALERT,02/05/2019
TRAPEZARIA MEDITERRANEAN KUZINA,"11 NORTH WASHINGTON STREET , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/23/2017
& PIZZA,"11626 OLD GEORGETOWN ROAD , NORTH BETHESDA, MD 20852",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,12/21/2016
SUYAMASTER,"2302 PRICE AVENUE , WHEATON, MD 20902",SALE TO MINOR,SETTLED; $1000.00 + ALERT,02/12/2018
PIZZA CS,"1596 ROCKVILLE PIKE , ROCKVILLE, MD 20850",SALE TO MINOR,SETTLED; $1000.00 + ALERT,05/07/2017
PETER CHANG'S CHINA BISTRO,"20 MARYLAND AVENUE , ROCKVILLE, MD 20850",ALCOHOL AWARENESS CERTIFIED PERSON NOT ON PREMISES,SETTLED; $100.00 + ALERT,06/23/2016
GENTLEMAN JIM'S RESTAURANT,"18917 EARHART COURT , GAITHERSBURG, MD 20879",SELLING/SERVING ALCOHOL AFTER PERMITTED HOURS,SETTLED; $1000 + ALERT,11/09/2017
CHOICE MARKET,"18700 WALKERS CHOICE RD , MONTGOMERY VILLAGE, MD 20886",SALE TO MINOR,SETTLED; $1000+ALERT,09/13/2018
WOODMOOR SUPERMARKET,"10129 COLESVILLE ROAD , SILVER SPRING, MD 20901",SALE TO MINOR,SETTLED; $1000.00 + ALERT,01/29/2018
OLD TOWN POUR HOUSE,"212 ELLINGTON BOULEVARD , GAITHERSBURG, MD 20878",DISORDERLY HOUSE,SETTLED; $1000+ALERT,04/26/2018
BRIGHTON BEER & WINE,"225 MUDDY BRANCH ROAD , GAITHERSBURG, MD 20878",WINDOW TINTING,SETTLED; $500.00 + ALERT,12/27/2016
